check,fund,source_a,value_a,source_b,value_b,diff,flag
netAssets,ACLZ,custodian,243854.00,NAV@20260624,243854.26,-0.26,
netAssets,ACMM,custodian,262568.00,NAV@20260624,262567.89,0.11,
netAssets,AV,custodian,1423815.00,NAV@20260624,1423814.44,0.56,
netAssets,BAY,custodian,1970766.00,NAV@20260624,1970764.76,1.24,
netAssets,BLCK,custodian,1260375.00,NAV@20260624,1260376.89,-1.89,
netAssets,BREW,custodian,1611138.00,NAV@20260624,1611135.90,2.10,
netAssets,BRZX,custodian,338695.50,NAV@20260624,564492.50,-225797.00,REVIEW
netAssets,BZZ,custodian,4136685.00,NAV@20260624,4136684.71,0.29,
netAssets,CAMC,custodian,242783.00,NAV@20260624,242782.70,0.30,
netAssets,CARX,custodian,255607.00,NAV@20260624,255606.86,0.14,
netAssets,CBIL,custodian,17029920.00,NAV@20260624,17029923.38,-3.38,
netAssets,CBOT,custodian,3474084.00,NAV@20260624,3474077.91,6.09,
netAssets,CCPX,custodian,1296158.50,NAV@20260624,1296156.52,1.98,
netAssets,CGOV,custodian,17536750.00,NAV@20260624,17536783.75,-33.75,
netAssets,CHYG,custodian,5506974.00,NAV@20260624,5506979.86,-5.86,
netAssets,CIEI,custodian,2258901.00,NAV@20260624,2258897.41,3.59,
netAssets,CIVG,custodian,4258415.00,NAV@20260624,4258412.17,2.83,
netAssets,CJUN,custodian,1362339.00,NAV@20260624,1362336.80,2.20,
netAssets,CMAG,custodian,8683970.50,NAV@20260624,8683963.37,7.13,
netAssets,CMAY,custodian,4973241.00,NAV@20260624,4973248.57,-7.57,
netAssets,CQTM,custodian,15842708.50,NAV@20260624,15842702.09,6.41,
netAssets,CRUC,custodian,249724.00,NAV@20260624,249723.70,0.30,
netAssets,CTJN,custodian,988620.00,NAV@20260624,988620.84,-0.84,
netAssets,CTMA,custodian,4688325.50,NAV@20260624,4688330.67,-5.17,
netAssets,CUST,custodian,7509930.00,NAV@20260624,7509933.48,-3.48,
netAssets,DIPR,custodian,3356150.00,NAV@20260624,3356153.44,-3.44,
netAssets,DOCK,custodian,1591062.00,NAV@20260624,1591060.41,1.59,
netAssets,EMJN,custodian,1452852.00,NAV@20260624,1452851.49,0.51,
netAssets,EMMY,custodian,5168709.00,NAV@20260624,5168711.01,-2.01,
netAssets,EMXX,custodian,460704.00,NAV@20260624,460703.97,0.03,
netAssets,EUV,custodian,382008474.00,NAV@20260624,379142960.52,2865513.48,
netAssets,EUVX,custodian,1946083.50,NAV@20260624,1030281.43,915802.07,REVIEW
netAssets,EYES,custodian,3046762.50,NAV@20260624,3046765.52,-3.02,
netAssets,FDRS,custodian,98461524.00,NAV@20260624,98461415.69,108.31,
netAssets,FDRX,custodian,16773390.00,NAV@20260624,16773391.88,-1.88,
netAssets,GASZ,custodian,11602308.00,NAV@20260624,11602319.85,-11.85,
netAssets,GLAM,custodian,1480787.00,NAV@20260624,1480785.77,1.23,
netAssets,GNMX,custodian,1605384.00,NAV@20260624,1605384.34,-0.34,
netAssets,GPTZ,custodian,125000.00,NAV@20260624,125000.00,0.00,
netAssets,HJUN,custodian,1371793.50,NAV@20260624,1371790.75,2.75,
netAssets,HMAY,custodian,4795353.00,NAV@20260624,4795345.43,7.57,
netAssets,HULL,custodian,2388461.50,NAV@20260624,2765590.02,-377128.52,REVIEW
netAssets,IDJN,custodian,982720.00,NAV@20260624,982719.34,0.66,
netAssets,IDMY,custodian,4736643.00,NAV@20260624,4736643.97,-0.97,
netAssets,JOUL,custodian,11758815.00,NAV@20260624,11758800.23,14.77,
netAssets,JUNC,custodian,1231800.00,NAV@20260624,1231800.57,-0.57,
netAssets,KEYX,custodian,248269.00,NAV@20260624,248269.30,-0.30,
netAssets,KRWX,custodian,1371475.00,NAV@20260624,391849.71,979625.29,REVIEW
netAssets,KYC,custodian,1412034.00,NAV@20260624,1412033.54,0.46,
netAssets,LASC,custodian,230318.00,NAV@20260624,230318.41,-0.41,
netAssets,LATR,custodian,1568436.00,NAV@20260624,1568438.11,-2.11,
netAssets,LRNX,custodian,261122.00,NAV@20260624,261121.70,0.30,
netAssets,MAYC,custodian,4729636.00,NAV@20260624,4729630.61,5.39,
netAssets,MGKX,custodian,319318.50,NAV@20260624,532197.53,-212879.03,REVIEW
netAssets,MNSX,custodian,255465.00,NAV@20260624,255464.75,0.25,
netAssets,MSIX,custodian,264349.00,NAV@20260624,264348.78,0.22,
netAssets,NYNY,custodian,1173361.50,NAV@20260624,1434109.57,-260748.07,REVIEW
netAssets,ODDZ,custodian,1169469.00,NAV@20260624,1169468.50,0.50,
netAssets,ONTX,custodian,260136.00,NAV@20260624,260136.01,-0.01,
netAssets,OWN,custodian,2364520.00,NAV@20260624,3310325.65,-945805.65,REVIEW
netAssets,PTNT,custodian,1433861.00,NAV@20260624,1433862.36,-1.36,
netAssets,QJN,custodian,976332.00,NAV@20260624,976332.30,-0.30,
netAssets,QMY,custodian,4734168.50,NAV@20260624,4734166.24,2.26,
netAssets,QQJN,custodian,1226640.00,NAV@20260624,1226641.52,-1.52,
netAssets,QQMY,custodian,5374362.00,NAV@20260624,5374361.93,0.07,
netAssets,RMBC,custodian,235792.00,NAV@20260624,235791.87,0.13,
netAssets,SCJN,custodian,1017320.00,NAV@20260624,1017320.22,-0.22,
netAssets,SCMY,custodian,4755702.50,NAV@20260624,4755704.01,-1.51,
netAssets,SIMX,custodian,254243.00,NAV@20260624,254242.66,0.34,
netAssets,STYL,custodian,1188504.00,NAV@20260624,1452614.33,-264110.33,REVIEW
netAssets,TAJX,custodian,661380.00,NAV@20260624,661380.75,-0.75,
netAssets,TPLX,custodian,260536.00,NAV@20260624,260535.82,0.18,
netAssets,UMCX,custodian,284375.00,NAV@20260624,284375.28,-0.28,
netAssets,USX,custodian,468224.00,NAV@20260624,468223.53,0.47,
netAssets,VBX,custodian,877471.00,NAV@20260624,877471.59,-0.59,
netAssets,VOOX,custodian,697164.00,NAV@20260624,697164.59,-0.59,
netAssets,WATS,custodian,2066872.00,NAV@20260624,2066868.93,3.07,
netAssets,WEBX,custodian,454462.50,NAV@20260624,454461.41,1.09,
netAssets,WNDR,custodian,1554773.00,NAV@20260624,1554773.13,-0.13,
netAssets,WR,custodian,3221856.00,NAV@20260624,3221849.98,6.02,
netAssets,WX,custodian,351069.00,NAV@20260624,585115.39,-234046.39,REVIEW
netAssets,XA,custodian,2626440.00,NAV@20260624,2626437.11,2.89,
netAssets,XAGI,custodian,407072.00,NAV@20260624,610606.62,-203534.62,REVIEW
netAssets,XBIX,custodian,508653.00,NAV@20260624,847754.31,-339101.31,REVIEW
netAssets,XCOM,custodian,380596.00,NAV@20260624,570894.33,-190298.33,REVIEW
netAssets,XEUR,custodian,486278.00,NAV@20260624,486278.49,-0.49,
netAssets,XHOA,custodian,263869.00,NAV@20260624,263869.28,-0.28,
netAssets,XIWC,custodian,374706.00,NAV@20260624,749411.64,-374705.64,REVIEW
netAssets,XKRE,custodian,425013.00,NAV@20260624,708355.93,-283342.93,REVIEW
netAssets,XLBX,custodian,860849.50,NAV@20260624,860851.23,-1.73,
netAssets,XLEX,custodian,321328.50,NAV@20260624,535546.84,-214218.34,REVIEW
netAssets,XLFX,custodian,680337.50,NAV@20260624,680337.78,-0.28,
netAssets,XLIX,custodian,399364.50,NAV@20260624,665607.75,-266243.25,REVIEW
netAssets,XLKX,custodian,629121.00,NAV@20260624,629120.74,0.26,
netAssets,XLPX,custodian,669777.50,NAV@20260624,669777.29,0.21,
netAssets,XLUX,custodian,541204.00,NAV@20260624,541204.60,-0.60,
netAssets,XLVX,custodian,549158.00,NAV@20260624,823737.71,-274579.71,REVIEW
netAssets,XLYX,custodian,357364.50,NAV@20260624,238243.09,119121.41,REVIEW
netAssets,XPAV,custodian,261018.00,NAV@20260624,261017.85,0.15,
netAssets,XSEM,custodian,577395.00,NAV@20260624,577395.31,-0.31,
netAssets,XTAI,custodian,582175.00,NAV@20260624,582175.23,-0.23,
netAssets,XVO,custodian,498932.00,NAV@20260624,498932.03,-0.03,
netAssets,XVUG,custodian,321898.50,NAV@20260624,536496.62,-214598.12,REVIEW
netAssets,XW,custodian,234513.00,NAV@20260624,234512.65,0.35,
netAssets,YUNG,custodian,1552050.50,NAV@20260624,1552049.53,0.97,
flow:mon1Sales,ACLZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,ACLZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,ACLZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,ACLZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,ACLZ,TB@20260624,250000.00,AP_orders,250000.00,0.00,
flow:mon3Redemption,ACLZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,ACMM,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,ACMM,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,ACMM,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,ACMM,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,ACMM,TB@20260624,250000.00,AP_orders,250000.00,0.00,
flow:mon3Redemption,ACMM,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,ADVX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,ADVX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,ADVX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,ADVX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,ADVX,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon3Redemption,ADVX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,AMAA,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,AMAA,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,AMAA,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,AMAA,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,AMAA,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon3Redemption,AMAA,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,AMDC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,AMDC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,AMDC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,AMDC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,AMDC,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
